ConsignDetailID,ConsignID,InvoiceNo,description,articleNo,article,weight,chargeWeight,rateType,rate,freight,InvoiceValue,GRNDate,GRNNo
392774,290647,NULL,CARBON CUP & TEMP TIPS,6,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392775,290647,NULL,CARBON CUP & TEMP TIPS,6,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392776,290648,NULL,DIA PATTERN ASSY,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392777,290649,NULL,CUPS & TIPS,31,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392778,290650,NULL,MINI THERMOCOUPLE,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392779,290651,NULL,FEEDEX HD VS 16,20,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392780,290652,NULL,STRIPCOTE 7019,5,13,NULL,1750,Fixed,NULL,NULL,NULL,NULL,NULL
392781,290652,NULL,SLAX 30,20,2,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392782,290652,NULL,ISOMOL 7800,40,25,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392783,290653,NULL,KALMINEX 2000 PLUS,15,72,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392784,290654,NULL,Sedex 40x40x15/10,11,4,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392785,290655,NULL,Sedex 50x50x15/20,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
